BEGIN;

INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer9', 'buyerpass9', '951-300-0009', '309 Buyer Rd, Riverside CA', 'Buyer', 'Music');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer10', 'buyerpass10', '951-300-0010', '310 Buyer Rd, Riverside CA', 'Buyer', 'Gaming');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer11', 'buyerpass11', '951-300-0011', '311 Buyer Rd, Riverside CA', 'Buyer', 'Electronics');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer12', 'buyerpass12', '951-300-0012', '312 Buyer Rd, Riverside CA', 'Buyer', 'Books');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer13', 'buyerpass13', '951-300-0013', '313 Buyer Rd, Riverside CA', 'Buyer', 'Fashion');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer14', 'buyerpass14', '951-300-0014', '314 Buyer Rd, Riverside CA', 'Buyer', 'Home');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer15', 'buyerpass15', '951-300-0015', '315 Buyer Rd, Riverside CA', 'Buyer', 'Sports');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer16', 'buyerpass16', '951-300-0016', '316 Buyer Rd, Riverside CA', 'Buyer', 'Toys');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer17', 'buyerpass17', '951-300-0017', '317 Buyer Rd, Riverside CA', 'Buyer', 'Collectibles');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer18', 'buyerpass18', '951-300-0018', '318 Buyer Rd, Riverside CA', 'Buyer', 'Automotive');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer19', 'buyerpass19', '951-300-0019', '319 Buyer Rd, Riverside CA', 'Buyer', 'Music');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer20', 'buyerpass20', '951-300-0020', '320 Buyer Rd, Riverside CA', 'Buyer', 'Gaming');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer21', 'buyerpass21', '951-300-0021', '321 Buyer Rd, Riverside CA', 'Buyer', 'Electronics');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer22', 'buyerpass22', '951-300-0022', '322 Buyer Rd, Riverside CA', 'Buyer', 'Books');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer23', 'buyerpass23', '951-300-0023', '323 Buyer Rd, Riverside CA', 'Buyer', 'Fashion');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer24', 'buyerpass24', '951-300-0024', '324 Buyer Rd, Riverside CA', 'Buyer', 'Home');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer25', 'buyerpass25', '951-300-0025', '325 Buyer Rd, Riverside CA', 'Buyer', 'Sports');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer26', 'buyerpass26', '951-300-0026', '326 Buyer Rd, Riverside CA', 'Buyer', 'Toys');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer27', 'buyerpass27', '951-300-0027', '327 Buyer Rd, Riverside CA', 'Buyer', 'Collectibles');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer28', 'buyerpass28', '951-300-0028', '328 Buyer Rd, Riverside CA', 'Buyer', 'Automotive');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer29', 'buyerpass29', '951-300-0029', '329 Buyer Rd, Riverside CA', 'Buyer', 'Music');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer30', 'buyerpass30', '951-300-0030', '330 Buyer Rd, Riverside CA', 'Buyer', 'Gaming');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer31', 'buyerpass31', '951-300-0031', '331 Buyer Rd, Riverside CA', 'Buyer', 'Electronics');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer32', 'buyerpass32', '951-300-0032', '332 Buyer Rd, Riverside CA', 'Buyer', 'Books');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer33', 'buyerpass33', '951-300-0033', '333 Buyer Rd, Riverside CA', 'Buyer', 'Fashion');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer34', 'buyerpass34', '951-300-0034', '334 Buyer Rd, Riverside CA', 'Buyer', 'Home');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer35', 'buyerpass35', '951-300-0035', '335 Buyer Rd, Riverside CA', 'Buyer', 'Sports');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer36', 'buyerpass36', '951-300-0036', '336 Buyer Rd, Riverside CA', 'Buyer', 'Toys');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer37', 'buyerpass37', '951-300-0037', '337 Buyer Rd, Riverside CA', 'Buyer', 'Collectibles');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer38', 'buyerpass38', '951-300-0038', '338 Buyer Rd, Riverside CA', 'Buyer', 'Automotive');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer39', 'buyerpass39', '951-300-0039', '339 Buyer Rd, Riverside CA', 'Buyer', 'Music');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer40', 'buyerpass40', '951-300-0040', '340 Buyer Rd, Riverside CA', 'Buyer', 'Gaming');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer41', 'buyerpass41', '951-300-0041', '341 Buyer Rd, Riverside CA', 'Buyer', 'Electronics');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer42', 'buyerpass42', '951-300-0042', '342 Buyer Rd, Riverside CA', 'Buyer', 'Books');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer43', 'buyerpass43', '951-300-0043', '343 Buyer Rd, Riverside CA', 'Buyer', 'Fashion');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer44', 'buyerpass44', '951-300-0044', '344 Buyer Rd, Riverside CA', 'Buyer', 'Home');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer45', 'buyerpass45', '951-300-0045', '345 Buyer Rd, Riverside CA', 'Buyer', 'Sports');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer46', 'buyerpass46', '951-300-0046', '346 Buyer Rd, Riverside CA', 'Buyer', 'Toys');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer47', 'buyerpass47', '951-300-0047', '347 Buyer Rd, Riverside CA', 'Buyer', 'Collectibles');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer48', 'buyerpass48', '951-300-0048', '348 Buyer Rd, Riverside CA', 'Buyer', 'Automotive');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer49', 'buyerpass49', '951-300-0049', '349 Buyer Rd, Riverside CA', 'Buyer', 'Music');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer50', 'buyerpass50', '951-300-0050', '350 Buyer Rd, Riverside CA', 'Buyer', 'Gaming');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer51', 'buyerpass51', '951-300-0051', '351 Buyer Rd, Riverside CA', 'Buyer', 'Electronics');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer52', 'buyerpass52', '951-300-0052', '352 Buyer Rd, Riverside CA', 'Buyer', 'Books');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer53', 'buyerpass53', '951-300-0053', '353 Buyer Rd, Riverside CA', 'Buyer', 'Fashion');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer54', 'buyerpass54', '951-300-0054', '354 Buyer Rd, Riverside CA', 'Buyer', 'Home');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer55', 'buyerpass55', '951-300-0055', '355 Buyer Rd, Riverside CA', 'Buyer', 'Sports');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer56', 'buyerpass56', '951-300-0056', '356 Buyer Rd, Riverside CA', 'Buyer', 'Toys');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer57', 'buyerpass57', '951-300-0057', '357 Buyer Rd, Riverside CA', 'Buyer', 'Collectibles');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer58', 'buyerpass58', '951-300-0058', '358 Buyer Rd, Riverside CA', 'Buyer', 'Automotive');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer59', 'buyerpass59', '951-300-0059', '359 Buyer Rd, Riverside CA', 'Buyer', 'Music');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer60', 'buyerpass60', '951-300-0060', '360 Buyer Rd, Riverside CA', 'Buyer', 'Gaming');

-- 100 item + auction sets
INSERT INTO item (item_id, item_name, category, starting_price, image_url, item_condition, description, seller_login, seller_role) VALUES (1, 'iPhone 13 #1', 'Electronics', 169.06, 'https://example.com/images/item1.jpg', 'New', 'Sample new iPhone 13 #1 listed in Electronics.', 'seller1', 'Seller');
INSERT INTO auction (auction_id, item_id, seller_login, seller_role, current_highest_bid, auction_status, winner_login, winner_role) VALUES (1, 1, 'seller1', 'Seller', 169.06, 'Closed', NULL, 'Buyer');
INSERT INTO item (item_id, item_name, category, starting_price, image_url, item_condition, description, seller_login, seller_role) VALUES (2, 'Database Textbook #2', 'Books', 546.89, 'https://example.com/images/item2.jpg', 'Like New', 'Sample like new Database Textbook #2 listed in Books.', 'seller2', 'Seller');
INSERT INTO auction (auction_id, item_id, seller_login, seller_role, current_highest_bid, auction_status, winner_login, winner_role) VALUES (2, 2, 'seller2', 'Seller', 546.89, 'Closed', NULL, 'Buyer');
INSERT INTO item (item_id, item_name, category, starting_price, image_url, item_condition, description, seller_login, seller_role) VALUES (3, 'Leather Jacket #3', 'Fashion', 390.94, 'https://example.com/images/item3.jpg', 'Used', 'Sample used Leather Jacket #3 listed in Fashion.', 'seller3', 'Seller');
INSERT INTO auction (auction_id, item_id, seller_login, seller_role, current_highest_bid, auction_status, winner_login, winner_role) VALUES (3, 3, 'seller3', 'Seller', 390.94, 'Closed', NULL, 'Buyer');
INSERT INTO item (item_id, item_name, category, starting_price, image_url, item_condition, description, seller_login, seller_role) VALUES (4, 'Coffee Maker #4', 'Home', 300.96, NULL, 'Refurbished', 'Sample refurbished Coffee Maker #4 listed in Home.', 'seller4', 'Seller');
INSERT INTO auction (auction_id, item_id, seller_login, seller_role, current_highest_bid, auction_status, winner_login, winner_role) VALUES (4, 4, 'seller4', 'Seller', 300.96, 'Closed', NULL, 'Buyer');
INSERT INTO item (item_id, item_name, category, starting_price, image_url, item_condition, description, seller_login, seller_role) VALUES (5, 'Basketball #5', 'Sports', 41.20, 'https://example.com/images/item5.jpg', 'Fair', 'Sample fair Basketball #5 listed in Sports.', 'seller5', 'Seller');
INSERT INTO auction (auction_id, item_id, seller_login, seller_role, current_highest_bid, auction_status, winner_login, winner_role) VALUES (5, 5, 'seller5', 'Seller', 41.20, 'Closed', NULL, 'Buyer');
INSERT INTO item (item_id, item_name, category, starting_price, image_url, item_condition, description, seller_login, seller_role) VALUES (6, 'LEGO Set #6', 'Toys', 671.80, 'https://example.com/images/item6.jpg', 'New', 'Sample new LEGO Set #6 listed in Toys.', 'seller6', 'Seller');
INSERT INTO auction (auction_id, item_id, seller_login, seller_role, current_highest_bid, auction_status, winner_login, winner_role) VALUES (6, 6, 'seller6', 'Seller', 671.80, 'Closed', NULL, 'Buyer');
INSERT INTO item (item_id, item_name, category, starting_price, image_url, item_condition, description, seller_login, seller_role) VALUES (7, 'Vintage Coin #7', 'Collectibles', 848.32, 'https://example.com/images/item7.jpg', 'Like New', 'Sample like new Vintage Coin #7 listed in Collectibles.', 'seller7', 'Seller');
INSERT INTO auction (auction_id, item_id, seller_login, seller_role, current_highest_bid, auction_status, winner_login, winner_role) VALUES (7, 7, 'seller7', 'Seller', 848.32, 'Closed', NULL, 'Buyer');
INSERT INTO item (item_id, item_name, category, starting_price, image_url, item_condition, description, seller_login, seller_role) VALUES (8, 'Car Floor Mats #8', 'Automotive', 268.01, NULL, 'Used', 'Sample used Car Floor Mats #8 listed in Automotive.', 'seller8', 'Seller');
INSERT INTO auction (auction_id, item_id, seller_login, seller_role, current_highest_bid, auction_status, winner_login, winner_role) VALUES (8, 8, 'seller8', 'Seller', 268.01, 'Closed', NULL, 'Buyer');
INSERT INTO item (item_id, item_name, category, starting_price, image_url, item_condition, description, seller_login, seller_role) VALUES (9, 'Electric Guitar #9', 'Music', 722.83, 'https://example.com/images/item9.jpg', 'Refurbished', 'Sample refurbished Electric Guitar #9 listed in Music.', 'seller9', 'Seller');
INSERT INTO auction (auction_id, item_id, seller_login, seller_role, current_highest_bid, auction_status, winner_login, winner_role) VALUES (9, 9, 'seller9', 'Seller', 722.83, 'Closed', NULL, 'Buyer');
INSERT INTO item (item_id, item_name, category, starting_price, image_url, item_condition, description, seller_login, seller_role) VALUES (10, 'Nintendo Switch #10', 'Gaming', 842.32, 'https://example.com/images/item10.jpg', 'Fair', 'Sample fair Nintendo Switch #10 listed in Gaming.', 'seller10', 'Seller');
INSERT INTO auction (auction_id, item_id, seller_login, seller_role, current_highest_bid, auction_status, winner_login, winner_role) VALUES (10, 10, 'seller10', 'Seller', 842.32, 'Closed', NULL, 'Buyer');
INSERT INTO item (item_id, item_name, category, starting_price, image_url, item_condition, description, seller_login, seller_role) VALUES (11, 'Samsung Galaxy #11', 'Electronics', 664.48, 'https://example.com/images/item11.jpg', 'New', 'Sample new Samsung Galaxy #11 listed in Electronics.', 'seller1', 'Seller');
INSERT INTO auction (auction_id, item_id, seller_login, seller_role, current_highest_bid, auction_status, winner_login, winner_role) VALUES (11, 11, 'seller1', 'Seller', 664.48, 'Closed', NULL, 'Buyer');
INSERT INTO item (item_id, item_name, category, starting_price, image_url, item_condition, description, seller_login, seller_role) VALUES (12, 'Algorithms Book #12', 'Books', 454.29, NULL, 'Like New', 'Sample like new Algorithms Book #12 listed in Books.', 'seller2', 'Seller');
INSERT INTO auction (auction_id, item_id, seller_login, seller_role, current_highest_bid, auction_status, winner_login, winner_role) VALUES (12, 12, 'seller2', 'Seller', 454.29, 'Closed', NULL, 'Buyer');
INSERT INTO item (item_id, item_name, category, starting_price, image_url, item_condition, description, seller_login, seller_role) VALUES (13, 'Sneakers #13', 'Fashion', 95.54, 'https://example.com/images/item13.jpg', 'Used', 'Sample used Sneakers #13 listed in Fashion.', 'seller3', 'Seller');
INSERT INTO auction (auction_id, item_id, seller_login, seller_role, current_highest_bid, auction_status, winner_login, winner_role) VALUES (13, 13, 'seller3', 'Seller', 95.54, 'Closed', NULL, 'Buyer');
INSERT INTO item (item_id, item_name, category, starting_price, image_url, item_condition, description, seller_login, seller_role) VALUES (14, 'Desk Lamp #14', 'Home', 733.68, 'https://example.com/images/item14.jpg', 'Refurbished', 'Sample refurbished Desk Lamp #14 listed in Home.', 'seller4', 'Seller');
INSERT INTO auction (auction_id, item_id, seller_login, seller_role, current_highest_bid, auction_status, winner_login, winner_role) VALUES (14, 14, 'seller4', 'Seller', 733.68, 'Closed', NULL, 'Buyer');
INSERT INTO item (item_id, item_name, category, starting_price, image_url, item_condition, description, seller_login, seller_role) VALUES (15, 'Tennis Racket #15', 'Sports', 353.89, 'https://example.com/images/item15.jpg', 'Fair', 'Sample fair Tennis Racket #15 listed in Sports.', 'seller5', 'Seller');
INSERT INTO auction (auction_id, item_id, seller_login, seller_role, current_highest_bid, auction_status, winner_login, winner_role) VALUES (15, 15, 'seller5', 'Seller', 353.89, 'Closed', NULL, 'Buyer');
INSERT INTO item (item_id, item_name, category, starting_price, image_url, item_condition, description, seller_login, seller_role) VALUES (16, 'Board Game #16', 'Toys', 11.46, NULL, 'New', 'Sample new Board Game #16 listed in Toys.', 'seller6', 'Seller');
INSERT INTO auction (auction_id, item_id, seller_login, seller_role, current_highest_bid, auction_status, winner_login, winner_role) VALUES (16, 16, 'seller6', 'Seller', 11.46, 'Closed', NULL, 'Buyer');
INSERT INTO item (item_id, item_name, category, starting_price, image_url, item_condition, description, seller_login, seller_role) VALUES (17, 'Baseball Card #17', 'Collectibles', 155.55, 'https://example.com/images/item17.jpg', 'Like New', 'Sample like new Baseball Card #17 listed in Collectibles.', 'seller7', 'Seller');
INSERT INTO auction (auction_id, item_id, seller_login, seller_role, current_highest_bid, auction_status, winner_login, winner_role) VALUES (17, 17, 'seller7', 'Seller', 155.55, 'Closed', NULL, 'Buyer');
INSERT INTO item (item_id, item_name, category, starting_price, image_url, item_condition, description, seller_login, seller_role) VALUES (18, 'Dash Camera #18', 'Automotive', 528.60, 'https://example.com/images/item18.jpg', 'Used', 'Sample used Dash Camera #18 listed in Automotive.', 'seller8', 'Seller');
INSERT INTO auction (auction_id, item_id, seller_login, seller_role, current_highest_bid, auction_status, winner_login, winner_role) VALUES (18, 18, 'seller8', 'Seller', 528.60, 'Closed', NULL, 'Buyer');
INSERT INTO item (item_id, item_name, category, starting_price, image_url, item_condition, description, seller_login, seller_role) VALUES (19, 'Keyboard #19', 'Music', 203.48, 'https://example.com/images/item19.jpg', 'Refurbished', 'Sample refurbished Keyboard #19 listed in Music.', 'seller9', 'Seller');
INSERT INTO auction (auction_id, item_id, seller_login, seller_role, current_highest_bid, auction_status, winner_login, winner_role) VALUES (19, 19, 'seller9', 'Seller', 203.48, 'Closed', NULL, 'Buyer');
INSERT INTO item (item_id, item_name, category, starting_price, image_url, item_condition, description, seller_login, seller_role) VALUES (20, 'PS5 Controller #20', 'Gaming', 546.13, NULL, 'Fair', 'Sample fair PS5 Controller #20 listed in Gaming.', 'seller10', 'Seller');
INSERT INTO auction (auction_id, item_id, seller_login, seller_role, current_highest_bid, auction_status, winner_login, winner_role) VALUES (20, 20, 'seller10', 'Seller', 546.13, 'Closed', NULL, 'Buyer');
INSERT INTO item (item_id, item_name, category, starting_price, image_url, item_condition, description, seller_login, seller_role) VALUES (21, 'MacBook Pro #21', 'Electronics', 152.27, 'https://example.com/images/item21.jpg', 'New', 'Sample new MacBook Pro #21 listed in Electronics.', 'seller1', 'Seller');
INSERT INTO auction (auction_id, item_id, seller_login, seller_role, current_highest_bid, auction_status, winner_login, winner_role) VALUES (21, 21, 'seller1', 'Seller', 152.27, 'Closed', NULL, 'Buyer');
INSERT INTO item (item_id, item_name, category, starting_price, image_url, item_condition, description, seller_login, seller_role) VALUES (22, 'Python Guide #22', 'Books', 411.69, 'https://example.com/images/item22.jpg', 'Like New', 'Sample like new Python Guide #22 listed in Books.', 'seller2', 'Seller');
INSERT INTO auction (auction_id, item_id, seller_login, seller_role, current_highest_bid, auction_status, winner_login, winner_role) VALUES (22, 22, 'seller2', 'Seller', 411.69, 'Closed', NULL, 'Buyer');
INSERT INTO item (item_id, item_name, category, starting_price, image_url, item_condition, description, seller_login, seller_role) VALUES (23, 'Backpack #23', 'Fashion', 254.50, 'https://example.com/images/item23.jpg', 'Used', 'Sample used Backpack #23 listed in Fashion.', 'seller3', 'Seller');
INSERT INTO auction (auction_id, item_id, seller_login, seller_role, current_highest_bid, auction_status, winner_login, winner_role) VALUES (23, 23, 'seller3', 'Seller', 254.50, 'Closed', NULL, 'Buyer');
INSERT INTO item (item_id, item_name, category, starting_price, image_url, item_condition, description, seller_login, seller_role) VALUES (24, 'Office Chair #24', 'Home', 474.07, NULL, 'Refurbished', 'Sample refurbished Office Chair #24 listed in Home.', 'seller4', 'Seller');
INSERT INTO auction (auction_id, item_id, seller_login, seller_role, current_highest_bid, auction_status, winner_login, winner_role) VALUES (24, 24, 'seller4', 'Seller', 474.07, 'Closed', NULL, 'Buyer');
INSERT INTO item (item_id, item_name, category, starting_price, image_url, item_condition, description, seller_login, seller_role) VALUES (25, 'Yoga Mat #25', 'Sports', 220.06, 'https://example.com/images/item25.jpg', 'Fair', 'Sample fair Yoga Mat #25 listed in Sports.', 'seller5', 'Seller');
INSERT INTO auction (auction_id, item_id, seller_login, seller_role, current_highest_bid, auction_status, winner_login, winner_role) VALUES (25, 25, 'seller5', 'Seller', 220.06, 'Closed', NULL, 'Buyer');
INSERT INTO item (item_id, item_name, category, starting_price, image_url, item_condition, description, seller_login, seller_role) VALUES (26, 'Remote Car #26', 'Toys', 668.23, 'https://example.com/images/item26.jpg', 'New', 'Sample new Remote Car #26 listed in Toys.', 'seller6', 'Seller');
INSERT INTO auction (auction_id, item_id, seller_login, seller_role, current_highest_bid, auction_status, winner_login, winner_role) VALUES (26, 26, 'seller6', 'Seller', 668.23, 'Closed', NULL, 'Buyer');
INSERT INTO item (item_id, item_name, category, starting_price, image_url, item_condition, description, seller_login, seller_role) VALUES (27, 'Comic Book #27', 'Collectibles', 848.66, 'https://example.com/images/item27.jpg', 'Like New', 'Sample like new Comic Book #27 listed in Collectibles.', 'seller7', 'Seller');
INSERT INTO auction (auction_id, item_id, seller_login, seller_role, current_highest_bid, auction_status, winner_login, winner_role) VALUES (27, 27, 'seller7', 'Seller', 848.66, 'Closed', NULL, 'Buyer');
INSERT INTO item (item_id, item_name, category, starting_price, image_url, item_condition, description, seller_login, seller_role) VALUES (28, 'Jump Starter #28', 'Automotive', 851.73, NULL, 'Used', 'Sample used Jump Starter #28 listed in Automotive.', 'seller8', 'Seller');
INSERT INTO auction (auction_id, item_id, seller_login, seller_role, current_highest_bid, auction_status, winner_login, winner_role) VALUES (28, 28, 'seller8', 'Seller', 851.73, 'Closed', NULL, 'Buyer');
INSERT INTO item (item_id, item_name, category, starting_price, image_url, item_condition, description, seller_login, seller_role) VALUES (29, 'Microphone #29', 'Music', 53.81, 'https://example.com/images/item29.jpg', 'Refurbished', 'Sample refurbished Microphone #29 listed in Music.', 'seller9', 'Seller');
INSERT INTO auction (auction_id, item_id, seller_login, seller_role, current_highest_bid, auction_status, winner_login, winner_role) VALUES (29, 29, 'seller9', 'Seller', 53.81, 'Closed', NULL, 'Buyer');
INSERT INTO item (item_id, item_name, category, starting_price, image_url, item_condition, description, seller_login, seller_role) VALUES (30, 'Gaming Keyboard #30', 'Gaming', 870.88, 'https://example.com/images/item30.jpg', 'Fair', 'Sample fair Gaming Keyboard #30 listed in Gaming.', 'seller10', 'Seller');
INSERT INTO auction (auction_id, item_id, seller_login, seller_role, current_highest_bid, auction_status, winner_login, winner_role) VALUES (30, 30, 'seller10', 'Seller', 870.88, 'Closed', NULL, 'Buyer');
INSERT INTO item (item_id, item_name, category, starting_price, image_url, item_condition, description, seller_login, seller_role) VALUES (31, 'Sony Headphones #31', 'Electronics', 248.57, 'https://example.com/images/item31.jpg', 'New', 'Sample new Sony Headphones #31 listed in Electronics.', 'seller1', 'Seller');
INSERT INTO auction (auction_id, item_id, seller_login, seller_role, current_highest_bid, auction_status, winner_login, winner_role) VALUES (31, 31, 'seller1', 'Seller', 248.57, 'Closed', NULL, 'Buyer');
INSERT INTO item (item_id, item_name, category, starting_price, image_url, item_condition, description, seller_login, seller_role) VALUES (32, 'History Novel #32', 'Books', 799.95, NULL, 'Like New', 'Sample like new History Novel #32 listed in Books.', 'seller2', 'Seller');
INSERT INTO auction (auction_id, item_id, seller_login, seller_role, current_highest_bid, auction_status, winner_login, winner_role) VALUES (32, 32, 'seller2', 'Seller', 799.95, 'Closed', NULL, 'Buyer');
INSERT INTO item (item_id, item_name, category, starting_price, image_url, item_condition, description, seller_login, seller_role) VALUES (33, 'Wrist Watch #33', 'Fashion', 590.83, 'https://example.com/images/item33.jpg', 'Used', 'Sample used Wrist Watch #33 listed in Fashion.', 'seller3', 'Seller');
INSERT INTO auction (auction_id, item_id, seller_login, seller_role, current_highest_bid, auction_status, winner_login, winner_role) VALUES (33, 33, 'seller3', 'Seller', 590.83, 'Closed', NULL, 'Buyer');
