39,Sample Item 39,Home,312.50,,Refurbished,Description for sample item 39,seller14,Seller
40,Sample Item 40,Toys,320.00,,New,Description for sample item 40,seller15,Seller
41,Sample Item 41,Sports,327.50,,Like New,Description for sample item 41,seller16,Seller
42,Sample Item 42,Electronics,335.00,,Used,Description for sample item 42,seller17,Seller
43,Sample Item 43,Books,342.50,,Refurbished,Description for sample item 43,seller18,Seller
44,Sample Item 44,Clothing,350.00,,New,Description for sample item 44,seller19,Seller
45,Sample Item 45,Home,357.50,,Like New,Description for sample item 45,seller20,Seller
46,Sample Item 46,Toys,365.00,,Used,Description for sample item 46,seller21,Seller
47,Sample Item 47,Sports,372.50,,Refurbished,Description for sample item 47,seller22,Seller
48,Sample Item 48,Electronics,380.00,,New,Description for sample item 48,seller23,Seller
49,Sample Item 49,Books,387.50,,Like New,Description for sample item 49,seller24,Seller
50,Sample Item 50,Clothing,395.00,,Used,Description for sample item 50,seller25,Seller
51,Sample Item 51,Home,402.50,,Refurbished,Description for sample item 51,seller1,Seller
52,Sample Item 52,Toys,410.00,,New,Description for sample item 52,seller2,Seller
53,Sample Item 53,Sports,417.50,,Like New,Description for sample item 53,seller3,Seller
54,Sample Item 54,Electronics,425.00,,Used,Description for sample item 54,seller4,Seller
55,Sample Item 55,Books,432.50,,Refurbished,Description for sample item 55,seller5,Seller
56,Sample Item 56,Clothing,440.00,,New,Description for sample item 56,seller6,Seller
57,Sample Item 57,Home,447.50,,Like New,Description for sample item 57,seller7,Seller
58,Sample Item 58,Toys,455.00,,Used,Description for sample item 58,seller8,Seller
59,Sample Item 59,Sports,462.50,,Refurbished,Description for sample item 59,seller9,Seller
60,Sample Item 60,Electronics,470.00,,New,Description for sample item 60,seller10,Seller
61,Sample Item 61,Books,477.50,,Like New,Description for sample item 61,seller11,Seller
62,Sample Item 62,Clothing,485.00,,Used,Description for sample item 62,seller12,Seller
63,Sample Item 63,Home,492.50,,Refurbished,Description for sample item 63,seller13,Seller
64,Sample Item 64,Toys,500.00,,New,Description for sample item 64,seller14,Seller
65,Sample Item 65,Sports,507.50,,Like New,Description for sample item 65,seller15,Seller
66,Sample Item 66,Electronics,515.00,,Used,Description for sample item 66,seller16,Seller
67,Sample Item 67,Books,522.50,,Refurbished,Description for sample item 67,seller17,Seller
68,Sample Item 68,Clothing,530.00,,New,Description for sample item 68,seller18,Seller
69,Sample Item 69,Home,537.50,,Like New,Description for sample item 69,seller19,Seller
70,Sample Item 70,Toys,545.00,,Used,Description for sample item 70,seller20,Seller
71,Sample Item 71,Sports,552.50,,Refurbished,Description for sample item 71,seller21,Seller
72,Sample Item 72,Electronics,560.00,,New,Description for sample item 72,seller22,Seller
73,Sample Item 73,Books,567.50,,Like New,Description for sample item 73,seller23,Seller
74,Sample Item 74,Clothing,575.00,,Used,Description for sample item 74,seller24,Seller
75,Sample Item 75,Home,582.50,,Refurbished,Description for sample item 75,seller25,Seller
76,Sample Item 76,Toys,590.00,,New,Description for sample item 76,seller1,Seller
77,Sample Item 77,Sports,597.50,,Like New,Description for sample item 77,seller2,Seller
78,Sample Item 78,Electronics,605.00,,Used,Description for sample item 78,seller3,Seller
79,Sample Item 79,Books,612.50,,Refurbished,Description for sample item 79,seller4,Seller
80,Sample Item 80,Clothing,620.00,,New,Description for sample item 80,seller5,Seller
81,Sample Item 81,Home,627.50,,Like New,Description for sample item 81,seller6,Seller
82,Sample Item 82,Toys,635.00,,Used,Description for sample item 82,seller7,Seller
83,Sample Item 83,Sports,642.50,,Refurbished,Description for sample item 83,seller8,Seller
84,Sample Item 84,Electronics,650.00,,New,Description for sample item 84,seller9,Seller
85,Sample Item 85,Books,657.50,,Like New,Description for sample item 85,seller10,Seller
86,Sample Item 86,Clothing,665.00,,Used,Description for sample item 86,seller11,Seller
87,Sample Item 87,Home,672.50,,Refurbished,Description for sample item 87,seller12,Seller
88,Sample Item 88,Toys,680.00,,New,Description for sample item 88,seller13,Seller
89,Sample Item 89,Sports,687.50,,Like New,Description for sample item 89,seller14,Seller
90,Sample Item 90,Electronics,695.00,,Used,Description for sample item 90,seller15,Seller
91,Sample Item 91,Books,702.50,,Refurbished,Description for sample item 91,seller16,Seller
92,Sample Item 92,Clothing,710.00,,New,Description for sample item 92,seller17,Seller
93,Sample Item 93,Home,717.50,,Like New,Description for sample item 93,seller18,Seller
94,Sample Item 94,Toys,725.00,,Used,Description for sample item 94,seller19,Seller
95,Sample Item 95,Sports,732.50,,Refurbished,Description for sample item 95,seller20,Seller
96,Sample Item 96,Electronics,740.00,,New,Description for sample item 96,seller21,Seller
97,Sample Item 97,Books,747.50,,Like New,Description for sample item 97,seller22,Seller
98,Sample Item 98,Clothing,755.00,,Used,Description for sample item 98,seller23,Seller
99,Sample Item 99,Home,762.50,,Refurbished,Description for sample item 99,seller24,Seller
100,Sample Item 100,Toys,770.00,,New,Description for sample item 100,seller25,Seller
